meal_description,carb,fat,energy,protein,country,serving_type
I decided to snack on an 80g custard doughnut.,34.29,15.14,290.4,4.16,USA,metric
"I’ve got a snack that includes 120 grams of celery with 16 grams of peanut butter, plus 150 grams of grapes and 80 grams of carrots.",41.94,8.809999999999999,248.62,6.25,USA,metric
I’m having 22 grams of meringues for a snack.,16.33,0.04,70.84,1.61,USA,metric
Lunch today is 108 grams of meatloaf.,7.77,11.86,218.16,18.9,USA,metric
I’ve got a serving of 510 grams of fried tilapia made with oil for dinner.,50.24,60.08,1152.6,102.71,USA,metric
"I just had a medium sparerib, cooked and ready to eat, for my snack.",0.0,10.52,137.9,10.09,USA,natural
"For breakfast, I've got 244 grams of milk, 25 grams of toasted bread, and 16 grams of peanut butter.",28.020000000000003,17.24,317.17,14.53,USA,metric
"For a snack, I'm drinking a large vanilla-flavored cola.",77.08,1.86,312.48,0.0,USA,natural
I just took out 147 grams of peanut brittle to enjoy as a snack.,104.72,27.9,714.42,11.13,USA,metric
I'm enjoying a fried egg along with a 12 fl oz bottle of water for breakfast.,0.37,8.46,105.05,6.44,USA,natural
"For breakfast, I'm having 240 grams of brewed coffee with 1 gram of sucralose, 15 grams of flavored coffee creamer, a 248-gram serving of low-fat chocolate milk, and a 130-gram plain muffin.",98.54,25.56,683.13,16.48,USA,metric
"For my snack, I have a bar of Nature Valley granola and a cup of tap water.",21.4,8.0,170.45,3.2,USA,natural
I’ve got 64 grams of yogurt made with low-fat milk and a non-fruit flavor for my snack.,6.28,0.97,46.72,3.26,USA,metric
"For a snack, I'm having a low-fat Breakfast Tart (104.0g) and a bottle of unsweetened water (240.0g).",79.87,6.23,386.88,4.15,USA,metric
"For a snack, I'm having a can of cola, a cubic inch of milk chocolate candy, and a piece of hard candy.",50.21,6.27,256.48,1.38,USA,natural
"For a snack, I'm enjoying one chocolate sandwich cookie.",9.94,2.68,64.96,0.73,USA,natural
I'm having a small single serving bag of reduced fat potato chips paired with a quesadilla for lunch.,64.6,31.18,621.41,19.93,USA,natural
"For lunch, I'm having a 70-gram hamburger slider.",13.8,10.3,201.6,12.43,USA,metric
"For a snack, I'm having 186 grams of a fruit juice drink that's high in vitamin C, along with 507 grams of bottled unsweetened water, and 57 grams of flavored potato chips.",52.98,17.9,363.15,3.95,USA,metric
"For a snack, I'm having a cup of Gatorade and a cup of nacho cheese-flavored Doritos.",34.19,8.23,220.18,2.21,USA,natural
I have a medium piece of pizza with meat and vegetables and a cup of bottled water for dinner.,36.55,15.7,351.36,15.87,USA,natural
I'm enjoying 113 grams of cooked porgy with a 372-gram decaffeinated cola for lunch.,39.47,8.03,335.58000000000004,26.08,USA,metric
"I have a large cinnamon roll with frosting, a grilled cheese sandwich, and I'm sipping on a 32 fl oz Powerade Zero for breakfast.",106.3,67.6,1117.28,22.33,USA,natural
"For my snack, I have 248 grams of whole chocolate milk.",25.64,8.41,205.84,7.86,USA,metric
"This morning, I ate 35 grams of pork sausage and added 12 grams of mayonnaise, along with a large 620-gram fruit-flavored soft drink.",80.11999999999999,18.52,499.15,6.61,USA,metric
"For dinner, I had 180 grams of fast food French fries, a large iced sweetened black tea weighing 744 grams, and a 110-gram Burger King cheeseburger.",159.92,39.66,1079.34,21.5,USA,metric
"For a quick snack, I’m eating 28 grams of potato chips.",15.07,9.51,148.96,1.79,USA,metric
"For lunch, I'm having a thin slice of cooked smoked ham, a can of diet pepper soft drink, and a medium wheat roll.",21.040000000000003,3.86,153.78,8.64,USA,natural
I ate 196 grams of brown rice cooked with oil for lunch.,48.73,6.41,274.4,5.21,USA,metric
"For dinner, I'm having a soft serve vanilla ice cream cone in a waffle cone along with a double cheeseburger from McDonald's.",112.96,38.86,957.45,39.45,USA,natural
"For my snack, I have 360 grams of water in a bottle and a Clif Bar that weighs 68 grams.",44.5,4.0,235.28,10.0,USA,metric
"Dinner today is 179 grams of ground beef on a cornbread crust with tomato sauce and taco seasonings, along with a 620-gram fruit-flavored soft drink.",116.23,14.53,651.06,17.13,USA,metric
"For lunch, I’m having 105 grams of cooked fresh corn without any added fat.",19.57,1.42,90.3,3.42,USA,metric
"For dinner, I'm having 175 grams of fried chicken breast and 35 grams of sautéed chicken wings.",18.64,36.03,567.0,41.86,USA,metric
I’ve got a cup of chicken or turkey vegetable soup from my own recipe for lunch.,9.89,4.06,114.72,10.8,USA,natural
"For lunch, I'm having a grilled cheese sandwich made with 116.0g of American cheese on wheat bread, along with a 180.0g fruit juice drink that's high in vitamin C.",39.48,22.53,413.52,13.86,USA,metric
"I'm enjoying a dinner that includes a 480g club sandwich with chicken, bacon, and tomato, plus a 372g soft drink and some 30g nacho cheese-flavored Doritos.",152.16,47.8,1367.94,84.72,USA,metric
"For my morning meal, I have one cup of cooked grits that were made with water and fat.",29.28,4.37,170.4,2.86,USA,natural
"For my snack, it's a cup of tap water paired with a 12 fl oz can of light beer.",5.9,0.0,104.4,0.86,USA,natural
"For breakfast, I'm having an individual school container of 100% orange juice with calcium, a tablespoon of honey, and a medium plain pancake.",48.11,6.11,258.58,4.62,USA,natural
"For dinner, I have a 1.6 oz chocolate-covered coconut candy bar and a 1.5 oz Kit Kat bar.",54.27,23.15,444.59,4.869999999999999,USA,natural
"For lunch, it's 124 grams of apple juice paired with an 88-gram corn dog.",37.73,10.74,277.04,7.66,USA,metric
I’m having a 75-gram doughnut for a snack.,37.14,17.14,319.5,4.14,USA,metric
"For a snack, I'm enjoying a prepackaged vanilla ice cream cone that weighs 95 grams.",32.66,20.79,336.3,4.95,USA,metric
I'm snacking on 41 grams of Kellogg's Frosted Flakes right now.,36.57,0.69,151.29,1.62,USA,metric
"For a snack, I’m eating a 34g meal replacement bar.",15.3,4.76,144.84,10.2,USA,metric
I’m starting my day with 244 grams of whole milk poured over 28 grams of Cheerios for breakfast.,31.89,9.66,250.56,11.47,USA,metric
I’m enjoying a Progresso can of chicken noodle soup for lunch along with a 12 fl oz bottle of iced tea.,56.51,4.970000000000001,295.08000000000004,6.38,USA,natural
I’ve got a snack that includes 240 grams of water and 210 grams of fresh mango.,31.46,0.8,126.0,1.72,USA,metric
"Lunch today consists of a cup of nonfat soy milk, a cup of soy milk, and a jar of baby food with chicken, noodles, and veggies.",37.21,6.58,285.44,18.83,USA,natural
"For breakfast, I'm having 150 grams of raw avocado with 28 grams of flavored corn chips.",28.75,31.28,390.08,4.72,USA,metric
"For lunch, I'm having a medium slice of white bread.",13.78,1.01,75.6,2.64,USA,natural
"I’m having a snack that includes 360 grams of diet cola, a 50-gram nutrition bar, and 50 grams of Goldfish cheese crackers.",53.25,18.48,464.7,20.86,USA,metric
I ate a 130-gram chocolate muffin along with 507 grams of bottled unsweetened water for breakfast.,65.82,24.05,508.3,8.31,USA,metric
"For a snack, I'm having 50 grams of multigrain crackers and 360 grams of light beer.",39.7,10.2,345.4,4.41,USA,metric
"Lunch was a 154g orange, 244g of milk, and a 100g cheeseburger from the cafeteria.",53.85000000000001,13.68,449.82,28.49,USA,metric
"For my snack, I drank 360 grams of diet cola and 360 grams of decaffeinated diet cola.",1.47,0.11,10.8,0.8300000000000001,USA,metric
"For dinner, I'm having 230 grams of macaroni and cheese made from a packaged mix along with 131 grams of 100% apple juice.",65.79,18.5,469.66,10.8,USA,metric
I grabbed a 16 fl oz can of NOS energy drink to have as a snack.,55.8,0.0,218.24,0.0,USA,natural
"For a snack, I have 240 grams of tap water, 28 grams of chocolate-covered coconut candy, a gram of aspartame powder, 30 grams of half and half cream, and 360 grams of brewed coffee.",18.67,10.97,184.59,2.68,USA,metric
I'm having a 42-gram butter or sugar cookie with icing for a snack.,30.53,6.27,181.86,1.42,USA,metric
"For dinner, it’s 240 grams of tap water alongside 250 grams of pasta with cream sauce and poultry.",40.55,21.7,420.0,15.72,USA,metric
"At lunch, I’m enjoying a sandwich filled with turkey, cheese, lettuce, tomato, and spread. I have a bottle of unsweetened water to drink, plus a packet of mustard and a tablespoon of Italian dressing to add some flavor.",60.33,9.28,420.53,23.98,USA,natural
"For my snack, I've got a 12 fl oz bottle of energy drink and a cup of water from the tap.",38.06,0.0,159.96,1.71,USA,natural
I'm having a 4 oz container of yogurt with fruit for a snack.,16.34,1.55,100.57,5.27,USA,natural
I'm having a snack that includes a 186-gram fruit juice drink full of vitamin C and a 20-gram shortbread cookie.,33.87,5.44,188.36,1.31,USA,metric
"This morning, I had a medium bean soft taco along with a bottle of orange juice.",78.97999999999999,9.1,445.92,13.16,USA,natural
"For lunch, I'm having a cup of my homemade bean soup with macaroni and a cup of bean and ham soup.",53.120000000000005,10.76,430.24,31.19,USA,natural
"For dinner, I’ll enjoy a 15 oz can of chicken or turkey noodle soup.",16.32,5.7,174.25,13.98,USA,natural
"I had 244 grams of low-fat milk, a 92-gram chicken fillet sandwich from the school cafeteria, and a 200-gram raw apple for lunch.",67.7,10.08,439.84,22.22,USA,metric
I'm enjoying 170 grams of yogurt along with 248 grams of chocolate milk for lunch.,45.35,2.64,273.26,17.34,USA,metric
"For lunch, I'm eating a ground beef patty cooked, weighing 85 grams, with 21 grams of cheese and a drizzle of 10 grams of ketchup.",3.79,21.68,318.58000000000004,26.02,USA,metric
"For breakfast, it's just a doughnut and some orange juice in an 8 fl oz bottle.",65.09,17.44,436.06,5.83,USA,natural
"For lunch, I'm having 244 grams of potato soup made with either milk or water.",18.71,3.54,122.0,3.9,USA,metric
I’ll have a Snickers Marathon Protein Bar for lunch.,40.4,10.0,332.0,20.0,USA,natural
"For lunch, it's a small or medium bag of whole grain cheese crackers paired with a bottle of bottled water.",25.78,7.21,185.4,4.33,USA,natural
I had a cup of cooked frozen broccoli with oil and paired it with a cup of cooked Brussels sprouts for lunch.,22.74,10.4,201.5,11.35,USA,natural
"For dinner, I have a cup of rice topped with chicken or turkey, no sauce, and I’m sipping on a cup of brewed coffee.",33.26,11.5,292.48,12.95,USA,natural
"This morning, I’m enjoying a medium fruit muffin along with a carton of orange juice.",83.21000000000001,21.04,548.26,6.68,USA,natural
I'm enjoying a piece of caramel candy that's covered in chocolate along with a can of cola as a snack.,45.11,2.11,193.77,0.48,USA,natural
"Dinner tonight includes a 620-gram soft drink, a fast food fried chicken thigh (110 grams), a fried chicken drumstick (85 grams), and 60 grams of french fries from a restaurant.",111.04000000000002,47.48,1000.9,35.0,USA,metric
"For my snack, I mixed 1 gram of saccharin powder into 240 grams of hot black tea and had 124 grams of orange juice with calcium.",15.58,0.15,64.28,0.85,USA,metric
I’ve got 124 grams of orange juice and a 40-gram plain waffle for breakfast.,33.67,3.95,184.36,3.81,USA,metric
"I’m enjoying a cheese quesadilla, which is 141 grams, and drinking 240 grams of bottled water for lunch.",45.8,25.41,486.45,17.96,USA,metric
I’m enjoying a snack with 240 grams of water and a light beer that weighs 360 grams.,5.9,0.0,104.4,0.86,USA,metric
"For breakfast, I'm having a 145.0g biscuit with egg, cheese, and bacon, along with a 744.0g fruit-flavored caffeine-free soft drink.",110.88,25.5,734.05,17.78,USA,metric
"This morning, I had a 75-gram iced doughnut and 244 grams of whole milk for breakfast.",49.81,25.2,469.65,11.19,USA,metric
"For breakfast, I'm having a piece of thin crust pepperoni pizza, a piece of thin crust pizza with other meats, and a small container of 100% grape juice.",108.45,23.52,790.08,36.54,USA,natural
"For brunch, I'm having some Colby Jack cheese, about 28.35 grams, along with a chocolate-covered granola bar with coconut that weighs 41 grams.",23.09,22.05,326.57,8.969999999999999,USA,metric
"For breakfast today, I’m having brewed coffee (360 grams) with flavored creamer (15 grams), a 34-gram nutrition bar, and 3.5 grams of sugar.",24.050000000000004,6.859999999999999,199.57,10.73,USA,metric
"This morning, I’m enjoying a soft taco with meat and sour cream from a fast food restaurant, and it’s 135 grams.",25.7,13.27,270.0,11.79,USA,metric
"I have a dinner spread that includes a 620-gram soft drink, some Ritz crackers weighing 115 grams, and a fresh banana that's 126 grams.",163.51000000000002,32.36,959.04,9.01,USA,metric
"For a snack, I’m having a banana and a cup of gelatin dessert.",62.84,0.42,256.14,4.300000000000001,USA,natural
I’m snacking on 250 grams of canned pineapple and 150 grams of strawberries.,46.3,0.75,183.0,2.05,USA,metric
"I'm drinking a bottle of beer, which is 40 fl oz, as a snack.",42.6,0.0,516.0,5.52,USA,natural
"For breakfast, I'm having 21 grams of American cheese with a 57-gram croissant and a 50-gram fried egg. I also brewed 1800 grams of coffee.",28.33,21.910000000000004,385.39,16.47,USA,metric
I’m enjoying a slice of liverwurst with a cup of white bread for brunch.,20.55,9.42,199.56,7.83,USA,natural
I enjoyed a medium muffin along with a 6 oz yogurt and a cup of chocolate milk for breakfast.,114.25,23.53,760.76,23.18,USA,natural
I have a small cup of coffee and a chocolate snack cake with icing lined up for breakfast.,26.54,7.08,179.16,2.03,USA,natural
"For a snack, I'm having a bottle of 100% orange juice with calcium, and a cup of reduced fat milk.",39.93,4.94,238.56,9.86,USA,natural
"For breakfast, I'm having a can of cola and a cup of prepared noodle soup.",72.47,10.85,404.14,5.74,USA,natural
"For a snack, I'm having a Little Debbie cinnamon bun and a can of pepper-flavored soft drink.",70.62,18.49,454.56,2.94,USA,natural
"I'm enjoying a medium baked potato with some sour cream, a cup of cooked broccoli, and a baked chicken breast for dinner.",69.58,21.8,654.5,48.12,USA,natural
"For a snack, I have 4 grams of regular chewing gum and a 20-gram chocolate chip cookie.",16.94,4.95,112.8,1.02,USA,metric
I just took a tablespoon of honey as a quick snack.,16.48,0.0,60.8,0.06,USA,natural
I have a 28-gram Chinese pancake along with 245 grams of yogurt to drink for lunch.,41.64,2.78,234.36,10.22,USA,metric
"For my dinner, it's a small tilapia fillet that’s been cooked with a coating and some cooking spray.",14.85,3.07,187.58,24.8,USA,natural
"For breakfast, I'm having a medium-sized fruit muffin paired with a medium brewed coffee.",68.9,20.99,492.3,6.42,USA,natural
I made a beef sausage patty to have for breakfast.,1.18,10.04,114.8,4.66,USA,natural
I enjoyed 35 grams of pork sausage along with 248 grams of ready-to-drink fat-free chocolate milk for breakfast.,33.88,9.54,279.91,14.9,USA,metric
"For lunch, I'm having a 141-gram cheese quesadilla and a 28-gram cookie with icing.",66.16,29.59,607.6899999999999,18.91,USA,metric
Dinner tonight is a 140g Double Cheeseburger from Burger King.,24.08,21.04,380.8,22.65,USA,metric
I have a snack of 16 grams of peanut butter paired with a 165-gram raw apple.,26.36,8.459999999999999,181.32,4.03,USA,metric
"For lunch, I'm drinking 124 grams of orange juice and eating a 222-gram empanada filled with cheese and vegetables.",91.28,36.85,771.16,19.95,USA,metric
I'm enjoying a regular churro as a snack.,21.99,9.99,188.55,2.72,USA,natural
"This morning, I'm enjoying a 620g ginger ale, an egg, cheese, and bacon griddle cake sandwich that’s 168g, and another sandwich with egg, cheese, and sausage on an English muffin weighing 159g.",126.04,50.94,1122.5,41.48,USA,metric
"For my snack, I'm eating a 53-gram nut roll filled with fudge or nougat, caramel, and nuts.",28.03,13.25,259.7,7.12,USA,metric
"For breakfast today, I'm enjoying a 90-gram frosted cinnamon bun and 240 grams of tap water.",43.74,23.95,406.8,4.0,USA,metric
"For a snack, I have 14 grams of stick margarine spread on 33 grams of toasted whole wheat bread.",15.73,12.59,192.45,4.48,USA,metric
Lunch today is a large soft taco with meat and a 1-liter bottle of water.,38.31,20.32,417.36,20.1,USA,natural
"Lunch today consists of a raw apple and a diet ginger ale, the apple being 242 grams and the ginger ale at 360 grams.",33.42,0.41,125.84,0.99,USA,metric
"For a snack, I'm having 244 grams of Mexican-style beef stew in a tomato-based sauce with chili peppers, along with 620 grams of caffeine-free fruit-flavored soft drink.",73.53,8.389999999999999,477.36,27.98,USA,metric
"I'm starting my day with a doughnut, a 20 fl oz bottle of caffeine-free soft drink, a packet of mustard, and a plain beef hot dog on a white bun.",116.18,32.47,817.8100000000001,15.61,USA,natural
"I’ve got a medium apple, a cup of soy milk, a 6.75 fl oz pouch of apple juice, and a chocolate muffin for breakfast.",129.06,28.25,813.36,15.38,USA,natural
I’ve got a bowl of Chex Cinnamon cereal for breakfast today.,32.14,2.57,157.17,1.95,USA,natural
I have a 30-gram chocolate chip cookie and 26 grams of fruit leather for a quick snack.,41.53,8.16,242.5,1.67,USA,metric
I decided to have 63 grams of Scotch as a quick snack.,0.0,0.0,145.53,0.0,USA,metric
I’m snacking on a 28g Danish pastry and a 75g white cake with icing.,54.64,19.7,406.09,4.2,USA,metric
"Right now, I'm enjoying a scoop of vanilla light ice cream as a snack.",30.53,7.37,208.8,5.26,USA,natural
"For a snack, I'm having a 28-gram Puerto Rican-style meat turnover with a 360-gram diet cola.",7.09,3.85,79.16,3.73,USA,metric
I’ve got a snack of 360 grams of caffeine-containing diet fruit soft drink along with 360 grams of diet cola.,1.04,0.11,7.2,0.76,USA,metric
I had a small chocolate muffin along with a carton of 100% orange juice for breakfast.,49.75,13.1,334.46,5.31,USA,natural
"I'm enjoying a snack that includes a piece of chewing gum, a miniature milk chocolate candy with almonds, a fun-sized Kit Kat, 15 pieces of hard candy, and a fun-sized M&M's.",41.3,12.55,284.24,3.0200000000000005,USA,natural
"Lunch today includes 241 grams of chicken or turkey noodle soup, 250 grams of pasta with cream sauce and added vegetables from a restaurant, and 240 grams of tap water.",46.42,32.03,542.84,17.64,USA,metric
I’ve got a 12 oz can of cola along with a 10 oz diet frozen meal of chicken with noodles and cheese sauce for dinner.,71.53999999999999,9.02,478.86,28.5,USA,natural
"For dinner, I'm having a cup of ready-to-heat pasta with cream sauce and seafood.",41.2,20.5,410.0,14.55,USA,natural
"Dinner tonight is a cup of salad that includes lettuce, tomatoes, and carrots, served without any dressing.",3.12,0.15,14.6,0.91,USA,natural
I'm having a snack that includes a pack of hard candy and a single piece of chewing gum.,20.31,0.05,79.21000000000001,0.0,USA,natural
"For breakfast, I'm having a package of Nature Valley Crunchy Granola Bars and a bottle of water with low calorie sweetener.",27.52,8.32,201.42,4.24,USA,natural
"For my snack, I mixed 244 grams of reduced fat milk with 5.5 grams of malted milk mix.",17.09,4.64,142.46,8.17,USA,metric
I had an 84-gram chicken tamale and 360 grams of brewed coffee for breakfast.,12.43,11.57,184.2,7.68,USA,metric
"I'm sitting down to dinner with 600 grams of bottled water, an 85-gram fried chicken drumstick, and a 110-gram fried chicken thigh.",24.49,37.510000000000005,567.1,32.91,USA,metric
"I’ve got 113 grams of tilapia, either steamed or poached, with 15.3 grams of light Thousand Island dressing, and a salad with 73 grams of assorted veggies for dinner.",6.800000000000001,4.300000000000001,181.17,29.57,USA,metric
"This morning, I'm enjoying a small slice of raisin bread along with a bottle of water.",13.86,0.87,68.4,1.82,USA,natural
"For a snack, I had a cup of Gatorade and a large gumdrop.",27.42,0.0,110.42,0.0,USA,natural
"Today for lunch, I’m having a 16.5 oz frozen meal with fried chicken, potatoes, and some vegetables.",84.43,46.43,936.0,50.87,USA,natural
"I’m enjoying a cheeseburger with a cup of french fries and a tablespoon of ketchup for dinner, along with a 12 fl oz can of diet cola.",58.74,35.3,687.82,32.24,USA,natural
"For a snack, I had a fun-sized piece of hard candy and a snack cake that’s not chocolate, topped with icing.",36.43,4.3,189.6,1.28,USA,natural
"This morning, I’m having 240 grams of unsweetened bottled water alongside 148 grams of instant grits.",21.96,0.59,96.2,2.04,USA,metric
"For dinner, I'm having a hot dog sandwich with chili on a white bun (166 grams), along with 21 grams of American cheese, 15 grams of mustard, and a glass of tap water (240 grams).",35.33,26.130000000000003,455.42,19.14,USA,metric
I’ve got 18 grams of gumdrops alongside 244 grams of low-fat milk for my snack.,30.46,2.32,176.2,8.25,USA,metric
"For lunch, I'm having 113 grams of canned pineapple in syrup, a slice of white bread weighing 28 grams, a slice of American cheese at 21 grams, and 28 grams of deli ham. I also have 20 grams of flavored potato chips on the side.",44.35999999999999,14.02,345.95,12.07,USA,metric
I'm enjoying a 180-gram pear and a biscuit with gravy that weighs 220 grams for dinner.,64.85,32.52,595.4,14.22,USA,metric
"I made a submarine sandwich with steak and cheese, topped with fried peppers and onions, and I put on a tablespoon of sandwich spread and ketchup for dinner.",55.370000000000005,31.3,678.72,42.6,USA,natural
"I'm enjoying a quesadilla with meat and veggies for dinner, along with a cup of melted cheddar cheese.",52.05,108.86,1497.96,77.3,USA,natural
"For lunch, I'm having a cup of beef stew with potatoes and vegetables, along with a cup of unsweetened bottled water.",21.62,5.57,199.08,15.67,USA,natural
